Ia	Ib	Ic	IIa	IIb	IIa6	IIb6	IIIa	IIIa6
0.872343824	0.018894884	0.019243483	0.183676294	0	0	0	0	0
0.619906997	0.035608575	0.030962997	0.216145957	0.021906714	0.011608997	0.000712877	0.017304935	0
0.760843048	0.01265904	0.010751631	0.180885656	0.00420872	0.009488735	0	0.015881971	0
0.766622597	0.015670014	0.008527941	0.189238747	0.004350952	0	0	0.01030249	0.001278091
0.775382864	0.020884568	0.016006082	0.157076122	0.004334762	0.010196074	0	0.010513766	0
0.523265555	0.031142676	0.088866395	0.162643406	0.02578769	0.023113982	0	0	0.002678858
0.657616719	0.037141214	0.026277553	0.135619155	0.024382257	0.035538763	0.003523447	0.022145239	0.007537347
0.459407994	0.033978102	0.032903308	0.180528248	0.04304418	0.033121428	0.003878434	0.025479751	0.00916024
0.360897414	0.064838709	0.107918245	0.158812906	0.055129284	0.035382672	0.004687851	0.038217284	0.007273325
0.483307538	0.075823846	0.060200779	0.212147848	0.043151665	0.054322278	0.009101515	0.023467217	0.009310054
0.358545003	0.082645335	0.11716777	0.126582184	0.063892447	0.047855086	0.005704829	0.016060539	0.006632254
0.557904945	0.045356471	0.032849632	0.199751061	0.036782042	0.03911354	0.004035744	0.028845488	0.00902417
0.484313025	0.08411533	0.079020425	0.11440508	0.055509124	0.040566249	0.002878624	0.011246374	0.002320132
0.725781875	0.0235969	0.011412056	0.187123215	0.008058276	0.019115433	0.00087007	0.015364337	0.003003639
